COMPONENT,COST_AMOUNT,FYYearInt,LEVEL_OF_MAINTENANCE,NATURE_OF_COST,NON_MAINTAINERS,NUMBER_OF_MAINTAINERS,PER_CAPITA_RATE,PROVIDER_OF_MAINTENANCE,SERVICE
Active,0,2010,Field,Labor,,0,0,Organic,Other DoD
Active,2908.746607,2012,Field,Labor,,41779,69622.21708,Organic,Marine Corps
Active,6178.233758,2010,Field,Labor,,82454,74929.46077,Organic,Air Force
Active,6372.65963,2012,Field,Labor,,80324,79336.9308,Organic,Air Force
Active,6636.289881,2013,Field,Labor,,90464,73358.35118,Organic,Army
Active,6880.509584,2010,Field,Labor,,97866,70305.41336,Organic,Army
Active,7044.266569,2011,Field,Labor,,98771,71319.1784,Organic,Army
Active,9445.023829,2012,Field,Labor,,119031,79349.27733,Organic,Navy
Active,9716.712321,2015,Field,Labor,,121169,80191.40474,Organic,Navy
Active,22410.54048,2008,Field,Labor,,336713,66556.80203,Organic,Total DoD
Active,24391.71455,2017,Field,Labor,,313476,77810.46891,Organic,Total DoD
Active,25559.14266,2011,Field,Labor,,340934,74968.00747,Organic,Total DoD
Active,25706.67273,2012,Field,Labor,,335164,76698.78843,Organic,Total DoD
Civilian,4.687854711,2015,Depot,Labor,0,0,109743.383,Organic,Other DoD
Civilian,41.1489469,2016,Depot,Labor,0,0,112606.0525,Organic,Other DoD
Civilian,103.0294138,2013,Field,Labor,,1190,86579.33929,Organic,Marine Corps
Civilian,103.4227468,2017,Depot,Labor,443,838,95681.20479,Organic,Marine Corps
Civilian,137.6339695,2014,Field,Labor,,1288,106858.6719,Organic,Other DoD
Civilian,137.837689,2015,Field,Labor,,1256,109743.383,Organic,Other DoD
Civilian,148.8614627,2013,Field,Labor,,1420,104832.016,Organic,Other DoD
Civilian,153.5462546,2011,Field,Labor,,1555,98743.57208,Organic,Other DoD
Civilian,180.5564593,2011,Depot,Labor,783,1425,84710.9632,Organic,Marine Corps
Civilian,1308.781883,2011,Field,Labor,,14827,88270.17488,Organic,Navy
Civilian,1343.987963,2013,Field,Labor,,14715,91334.55407,Organic,Navy
Civilian,1361.75898,2015,Field,Labor,,15182,89695.62507,Organic,Navy
Civilian,1492.290507,2008,Depot,Labor,6080,10879,77248.89863,Organic,Army
Civilian,1558.381767,2017,Field,Labor,,15692,99310.58929,Organic,Navy
Civilian,1732.720223,2011,Depot,Labor,5968,10510,85544.12234,Organic,Army
Civilian,2573.811678,2014,Field,Labor,,29434,87443.48978,Organic,Army
Civilian,2676.057183,2012,Field,Labor,,30948,86469.47082,Organic,Army
Civilian,2736.588875,2009,Field,Labor,,33726,81141.81565,Organic,Army
Civilian,3046.469068,2010,Depot,Labor,8412,15842,81440.79129,Organic,Air Force
Civilian,3453.437663,2010,Depot,Labor,16142,20286,84998.55168,Organic,Navy
Civilian,3640.105911,2011,Depot,Labor,16782,20686,88270.17488,Organic,Navy
Civilian,3711.008345,2012,Depot,Labor,17267,20765,90660.41543,Organic,Navy
Civilian,4122.797984,2016,Depot,Labor,19775,24542,97351.26896,Organic,Navy
Civilian,5869.745095,2008,Field,Labor,,75361,77888.36526,Organic,Total DoD
Civilian,7084.97382,2017,Field,Labor,,73275,96690.19202,Organic,Total DoD
Civilian,7809.908304,2016,Depot,Labor,32401,48224,96867.07974,Organic,Total DoD
Civilian,7834.042686,2009,Depot,Labor,30112,46938,101674.7915,Organic,Total DoD
Civilian,7978.437125,2014,Depot,Labor,29662,45513,106131.5215,Organic,Total DoD
Civilian,8379.800078,2011,Depot,Labor,32145,49431,102723.8413,Organic,Total DoD
Guard/Reserve,0,2013,Field,Labor,,0,0,Organic,Other DoD
Guard/Reserve,126.1138446,2016,Field,Labor,,6566,19207.10396,Organic,Marine Corps
Guard/Reserve,136.7739812,2014,Field,Labor,,6596,20735.8977,Organic,Marine Corps
Guard/Reserve,163.2739068,2012,Field,Labor,,6352,25704.33042,Organic,Marine Corps
Guard/Reserve,171.1688602,2011,Field,Labor,,6238,27439.70186,Organic,Marine Corps
Guard/Reserve,410.8199336,2009,Field,Labor,,11937,34415.67677,Organic,Navy
Guard/Reserve,1320.653073,2015,Field,Labor,,43272,30519.80664,Organic,Air Force
Guard/Reserve,1320.808164,2014,Field,Labor,,43994,30022.46134,Organic,Air Force
Guard/Reserve,1351.262644,2017,Field,Labor,,41069,32902.25337,Organic,Air Force
Guard/Reserve,1430.082617,2013,Field,Labor,,44808,31915.78773,Organic,Air Force
Guard/Reserve,2313.284616,2014,Field,Labor,,86242,26823.17915,Organic,Army
Guard/Reserve,2319.395384,2013,Field,Labor,,82131,28240.19413,Organic,Army
Guard/Reserve,2416.078958,2017,Field,Labor,,83082,29080.65475,Organic,Army
Guard/Reserve,2807.833558,2011,Field,Labor,,86656,32402.06746,Organic,Army
Guard/Reserve,2934.172392,2009,Field,Labor,,87525,33523.82053,Organic,Army
Guard/Reserve,4177.833996,2014,Field,Labor,,149159,28009.26525,Organic,Total DoD
Guard/Reserve,4356.668173,2013,Field,Labor,,146222,29794.88841,Organic,Total DoD
Guard/Reserve,4938.92587,2008,Field,Labor,,156273,31604.47339,Organic,Total DoD
Guard/Reserve,5180.079264,2010,Field,Labor,,151790,34126.61746,Organic,Total DoD
Total,139.9228252,2009,Field,Labor,,1528,91572.52958,Organic,Other DoD
Total,2953.165234,2016,Field,Labor,,46210,63907.49262,Organic,Marine Corps
Total,2967.680938,2013,Field,Labor,,47247,62812.05025,Organic,Marine Corps
Total,9989.725013,2010,Field,Labor,,155541,64225.67048,Organic,Air Force
Total,10170.5636,2017,Field,Labor,,146341,69499.07133,Organic,Air Force
Total,10696.61114,2016,Field,Labor,,191974,55719.06162,Organic,Army
Total,11290.03165,2014,Field,Labor,,201226,56106.22708,Organic,Army
Total,11309.38258,2012,Field,Labor,,147946,76442.63837,Organic,Navy
Total,11498.03812,2015,Field,Labor,,148792,77275.9162,Organic,Navy
Total,11602.15841,2017,Field,Labor,,145502,79738.82427,Organic,Navy
Total,11832.24694,2009,Field,Labor,,215671,54862.48471,Organic,Army
Total,35560.46561,2014,Field,Labor,,542967,65492.86717,Organic,Total DoD
Total,35822.54671,2013,Field,Labor,,547625,65414.37426,Organic,Total DoD
Total,37321.75895,2011,Field,Labor,,570335,65438.31072,Organic,Total DoD
,0,2008,Field,Materials,,,,Organic,Other DoD
,0,2009,Field,Materials,,,,Commercial,Other DoD
