DATASEGMENT,EICATEGORY,EICC,EITM,EITYPE,EPSLI,FORCEELEMENT,FYQTR,FYYearInt,ISENDITEM,ISMODEL,MONTH_CHAR,MONTH_NUMBER,PMAI,SCORECARDGROUP,SERVICE,TAI,TII,TMS
AFA,TG,G,MRS-1,LOCOMOTIVE,0,,,2009,t,t,,,0,,Air Force,0,0,2104
AFA,TG,G,MRS-1,LOCOMOTIVE,0,,,2013,t,t,,,0,,Air Force,0,0,2104
AFA,TG,G,MRS-1,LOCOMOTIVE,0,,,2008,t,t,,,0,,Air Force,0,0,2104
AFA,TG,G,MRS-1,LOCOMOTIVE,0,,,2010,t,t,,,0,,Air Force,0,0,2104
AFA,TG,G,130G,SURFACE GRADER,0,,,2010,t,t,,,0,Tactical Ground Vehicle,Air Force,0,0,130G
AFA,TG,G,130G,SURFACE GRADER,0,,,2011,t,t,,,0,Tactical Ground Vehicle,Air Force,0,0,130G
AFA,TG,G,130G,SURFACE GRADER,0,,,2012,t,t,,,0,Tactical Ground Vehicle,Air Force,0,0,130G
AFA,,X,1DAMAA,AVIONICS,0,,,2008,f,t,,,0,,Air Force,0,0,1DAMAA00
AFA,,X,1DAMAA,AVIONICS,0,,,2009,f,t,,,0,,Air Force,0,0,1DAMAA00
AFA,,X,1DAMAA,AVIONICS,0,,,2011,f,t,,,0,,Air Force,0,0,1DAMAA00
AFA,,X,30MM GUN,GUN,0,,,2011,f,t,,,0,,Air Force,0,0,30MM GUN
AFA,,X,30MM GUN,GUN,0,,,2012,f,t,,,0,,Air Force,0,0,30MM GUN
AFA,,X,30MM GUN,GUN,0,,,2013,f,t,,,0,,Air Force,0,0,30MM GUN
AFA,,X,30MM GUN,GUN,0,,,2008,f,t,,,0,,Air Force,0,0,30MM GUN
AFA,,X,3ABMMA00,COMMUNICATIONS SYSTEM,0,,,2010,f,t,,,0,,Air Force,0,0,3ABMMA00
AFA,,X,3ABMMA00,COMMUNICATIONS SYSTEM,0,,,2009,f,t,,,0,,Air Force,0,0,3ABMMA00
AFA,,X,3ABMMA00,COMMUNICATIONS SYSTEM,0,,,2008,f,t,,,0,,Air Force,0,0,3ABMMA00
AFA,,X,3AEMAA00,MAPPING SYSTEM,0,,,2010,f,t,,,0,,Air Force,0,0,3AEMAA00
AFA,,X,3AEMAA00,MAPPING SYSTEM,0,,,2013,f,t,,,0,,Air Force,0,0,3AEMAA00
AFA,,X,3AEMAA00,MAPPING SYSTEM,0,,,2008,f,t,,,0,,Air Force,0,0,3AEMAA00
AFA,,X,3AGMAA00,OPTICS INSTRUMENTS,0,,,2009,f,t,,,0,,Air Force,0,0,3AGMAA00
AFA,,X,3AGMAA00,OPTICS INSTRUMENTS,0,,,2010,f,t,,,0,,Air Force,0,0,3AGMAA00
AFA,,X,3AGMAA00,OPTICS INSTRUMENTS,0,,,2011,f,t,,,0,,Air Force,0,0,3AGMAA00
AFA,,X,3AGMAA00,OPTICS INSTRUMENTS,0,,,2008,f,t,,,0,,Air Force,0,0,3AGMAA00
AFA,,X,3AGMAA00,OPTICS INSTRUMENTS,0,,,2012,f,t,,,0,,Air Force,0,0,3AGMAA00
AFA,,X,3AHMMA00,RECORDING OPTICAL TRACKING UNIT,0,,,2010,f,t,,,0,,Air Force,0,0,3AHMMA00
AFA,,X,3AHMMA00,RECORDING OPTICAL TRACKING UNIT,0,,,2011,f,t,,,0,,Air Force,0,0,3AHMMA00
AFA,,X,3AHMMA00,RECORDING OPTICAL TRACKING UNIT,0,,,2013,f,t,,,0,,Air Force,0,0,3AHMMA00
AFA,,X,3AKMAA00,SURVEILLANCE SYSTEM,0,,,2009,f,t,,,0,,Air Force,0,0,3AKMAA00
AFA,,X,3AKMAA00,SURVEILLANCE SYSTEM,0,,,2011,f,t,,,0,,Air Force,0,0,3AKMAA00
AFA,,X,3AKMAA00,SURVEILLANCE SYSTEM,0,,,2012,f,t,,,0,,Air Force,0,0,3AKMAA00
AFA,,X,3AKMAA00,SURVEILLANCE SYSTEM,0,,,2010,f,t,,,0,,Air Force,0,0,3AKMAA00
AFA,,X,3BBMMA00,ANTENNA,0,,,2010,f,t,,,0,,Air Force,0,0,3BBMMA00
AFA,,X,3BBMMA00,ANTENNA,0,,,2012,f,t,,,0,,Air Force,0,0,3BBMMA00
AFA,,X,3BBMMA00,ANTENNA,0,,,2008,f,t,,,0,,Air Force,0,0,3BBMMA00
AFA,,X,3CSMAA00,ALL-WEATHER PANEL,0,,,2008,f,t,,,0,,Air Force,0,0,3CSMAA00
AFA,,X,3CSMAA00,ALL-WEATHER PANEL,0,,,2010,f,t,,,0,,Air Force,0,0,3CSMAA00
AFA,,X,3CSMAA00,ALL-WEATHER PANEL,0,,,2011,f,t,,,0,,Air Force,0,0,3CSMAA00
AFA,,X,3CSMAA00,ALL-WEATHER PANEL,0,,,2013,f,t,,,0,,Air Force,0,0,3CSMAA00
AFA,,X,3DGMAA00,BUILDING,0,,,2008,f,t,,,0,,Air Force,0,0,3DGMAA00
AFA,,X,3DGMAA00,BUILDING,0,,,2013,f,t,,,0,,Air Force,0,0,3DGMAA00
AFA,,X,3DGMAA00,BUILDING,0,,,2011,f,t,,,0,,Air Force,0,0,3DGMAA00
AFA,,X,3DPMMA00,COMMUNICATIONS SYSTEM,0,,,2008,f,t,,,0,,Air Force,0,0,3DPMMA00
AFA,,X,3DPMMA00,COMMUNICATIONS SYSTEM,0,,,2012,f,t,,,0,,Air Force,0,0,3DPMMA00
AFA,,X,3EG900,AIRCRAFT INSTRUMENT,0,,,2011,f,t,,,0,,Air Force,0,0,3EG900
AFA,,X,3EG900,AIRCRAFT INSTRUMENT,0,,,2008,f,t,,,0,,Air Force,0,0,3EG900
AFA,,X,3EGD00,POD,0,,,2009,f,t,,,0,,Air Force,0,0,3EGD00
AFA,,X,3EGD00,POD,0,,,2011,f,t,,,0,,Air Force,0,0,3EGD00
AFA,,X,3EGD00,POD,0,,,2013,f,t,,,0,,Air Force,0,0,3EGD00
AFA,,X,3FAMAA00,RANGE CONTROL,0,,,2012,f,t,,,0,,Air Force,0,0,3FAMAA00
AFA,,X,3FAMAA00,RANGE CONTROL,0,,,2008,f,t,,,0,,Air Force,0,0,3FAMAA00
AFA,,X,3FSQCCS,C&C SYSTEM,0,,,2008,f,t,,,0,,Air Force,0,0,3FSQCCS
AFA,,X,3FSQCCS,C&C SYSTEM,0,,,2012,f,t,,,0,,Air Force,0,0,3FSQCCS
AFA,,X,3FSQCCS,C&C SYSTEM,0,,,2010,f,t,,,0,,Air Force,0,0,3FSQCCS
AFA,,X,3FSQCCS,C&C SYSTEM,0,,,2011,f,t,,,0,,Air Force,0,0,3FSQCCS
AFA,,X,3FTMAA00,DATA PROCESSING SYSTEM,0,,,2010,f,t,,,0,,Air Force,0,0,3FTMAA00
AFA,,X,3FTMAA00,DATA PROCESSING SYSTEM,0,,,2011,f,t,,,0,,Air Force,0,0,3FTMAA00
AFA,,X,3FTMAA00,DATA PROCESSING SYSTEM,0,,,2009,f,t,,,0,,Air Force,0,0,3FTMAA00
AFA,,X,3FTMAA00,DATA PROCESSING SYSTEM,0,,,2012,f,t,,,0,,Air Force,0,0,3FTMAA00
