CWT,DATASEGMENT,DOCUMENTNUMBER,EICATEGORY,EICC,EITM,FORCEELEMENT,FSC,FYQTR,FYYearInt,ITEMNAME,ITEMPRICE,JCN,MATLCOST,MATLCOST_ORIG,MONTH_CHAR,MONTH_NUMBER,NIIN,OPCD,PARTISSUEDATE,QTYITEMSISSUED,ROH,SCORECARDGROUP,SERVICE,SUBJCN,TMS,WAITINGCORROTAT,WAITINGHOURS
,ARG,,CG,G,M2,ABCT,2940,,2014,"FILTER ELEMENT,INTAKE AIR CLEANER",193,8VGAAA403013,74.1087,193,,,012915893,,2014-09-11 00:00:00,1.0,CF,Combat Ground Vehicle,AR,,M2A2,,
,ARG,,CG,G,M2,ABCT,2910,,2014,"FILTER ELEMENT,FLUID",22,8VGAAA403013,5.1891,22,,,001522033,,2014-09-11 00:00:00,1.0,CF,Combat Ground Vehicle,AR,,M2A2,,
,ARG,,TG,G,M88,,5310,,2014,"NUT,SELF-LOCKING,EXTENDED WASHER,HEXAGON",1,4ECA6W403464_1,1.2255,8,,,011551905,,2014-09-12 00:00:00,8.0,CF,Tactical Ground Vehicle,AR,,M88,,
,ARG,,TG,G,M88,,2540,,2014,"GUARD,SPLASH,VEHICULAR",6,8SL01A400638,1.8383,12,,,007703423,,2014-09-12 00:00:00,2.0,CF,Tactical Ground Vehicle,AR,,M88,,
,ARG,,TG,G,M113,ABCT,8120,,2014,"CYLINDER,COMPRESSED GAS",333,6YKAAC402610_1,88.2193,333,,,009109663,,2014-09-15 00:00:00,1.0,CF,Tactical Ground Vehicle,AR,,M113,,
,ARG,,TG,G,M113,ABCT,8120,,2014,"CYLINDER,COMPRESSED GAS",333,6YKAAC402610_1,88.2193,333,,,009109663,,2014-09-15 00:00:00,1.0,CF,Tactical Ground Vehicle,AR,,M113,,
,ARG,,TG,G,M113,ABCT,4140,,2014,"FAN,VANEAXIAL",4047,6YKAAC402610_1,658.5909,4047,,,013192899,,2014-09-15 00:00:00,1.0,CF,Tactical Ground Vehicle,AR,,M113,,
,ARG,,CG,G,M1,ABCT,5305,,2014,SETSCREW,1,12K01N406575_1,0.3834,3,,,007534451,,2014-09-12 00:00:00,3.0,CF,Combat Ground Vehicle,AR,,M1A2,,
,ARG,,CG,G,M1,ABCT,5340,,2014,"PLUNGER,QUICK RELEASE",3,12K01N406575_1,0.4709,6,,,009077799,,2014-09-12 00:00:00,2.0,CF,Combat Ground Vehicle,AR,,M1A2,,
,ARG,,CG,G,M1,ABCT,5340,,2014,"STRAP,RETAINING",1,12K01N406575_1,0.0785,1,,,004644792,,2014-09-12 00:00:00,1.0,CF,Combat Ground Vehicle,AR,,M1A2,,
,ARG,,CG,G,M1,ABCT,5960,,2014,"SHIELD,ELECTRON TUBE",26,12K01N406575_1,3.3221,26,,,004696661,,2014-09-12 00:00:00,1.0,CF,Combat Ground Vehicle,AR,,M1A2,,
,ARG,,CG,G,M1,ABCT,9905,,2014,"PLATE,IDENTIFICATION",7,12K01N406596_1,0.5494,7,,,014641394,,2014-09-12 00:00:00,1.0,CF,Combat Ground Vehicle,AR,,M1A2,,
,ARG,,CG,G,M1,ABCT,5360,,2014,"SPRING,HELICAL,COMPRESSION",3,12K01N406596_1,0.3834,3,,,000678023,,2014-09-12 00:00:00,1.0,CF,Combat Ground Vehicle,AR,,M1A2,,
,ARG,,CG,G,M1,ABCT,5340,,2014,"PLUG,PROTECTIVE,DUST AND MOISTURE SEAL",3,12K01N406596_1,1.5333,12,,,000700993,,2014-09-12 00:00:00,4.0,CF,Combat Ground Vehicle,AR,,M1A2,,
,ARG,,TG,G,M88,,5315,,2014,"PIN,STRAIGHT,HEADED",6,8SF09A407744,0.5646,6,,,011399785,,2014-09-12 00:00:00,1.0,CF,Tactical Ground Vehicle,AR,,M88,,
,ARG,,TG,G,M88,,2520,,2014,"CLUTCH,MAGNETIC,VEHICULAR",22519,0DAN5A400173,2119.0864,22519,,,014807818,,2014-09-15 00:00:00,1.0,CF,Tactical Ground Vehicle,AR,,M88,,
,ARG,,TG,G,M88,,4010,,2014,"WIRE ROPE ASSEMBLY,SINGLE LEG",11079,4GGA2A403032,1042.5578,11079,,,014142179,,2014-09-15 00:00:00,1.0,CF,Tactical Ground Vehicle,AR,,M88,,
,ARG,,CG,G,M2,ABCT,5340,,2014,"SHIELD,ASSEMBLY",290,8VBAAA409400_1,68.4027,290,,,014243941,,2014-09-16 00:00:00,1.0,CF,Combat Ground Vehicle,AR,,M2A2,,
,ARG,,CG,G,M2,ABCT,2590,,2014,"SCREEN,PLATFORM-RACK",51,8VBAAA409402,19.5832,51,,,010724183,,2014-09-16 00:00:00,1.0,CF,Combat Ground Vehicle,AR,,M2A2,,
,ARG,,CG,G,M2,ABCT,5340,,2014,"GRILLE,METAL",110,8VBAAA409402,42.2381,110,,,014228279,,2014-09-16 00:00:00,1.0,CF,Combat Ground Vehicle,AR,,M2A2,,
,ARG,,CG,G,M1126,,2540,,2014,"HEATER,VEHICULAR,COMPARTMENT",3943,DPRJ0A400251,676.5762,3943,,,200038601,,2014-09-16 00:00:00,1.0,CF,Combat Ground Vehicle,AR,,M1126,,
,ARG,,CG,G,M1,ABCT,5340,,2014,"BRACKET,ANGLE",8,8VBAAA409393,0.6824,8,,,010724492,,2014-09-16 00:00:00,1.0,CF,Combat Ground Vehicle,AR,,M1A1,,
,ARG,,CG,G,M1,ABCT,5340,,2014,"SHIELD,ASSEMBLY",290,8VBAAA409393,40.2667,290,,,014243941,,2014-09-16 00:00:00,1.0,CF,Combat Ground Vehicle,AR,,M1A1,,
,ARG,,CG,G,M1,ABCT,5340,,2014,"BRACKET,DOUBLE ANGLE",50,8VBAAA409393,6.9425,50,,,012602289,,2014-09-16 00:00:00,1.0,CF,Combat Ground Vehicle,AR,,M1A1,,
,ARG,,TG,G,M113,ABCT,9150,,2014,"GREASE,AUTOMOTIVE AND ARTILLERY",10,6YQAAC303572,37.0891,140,,,011977693,,2014-09-16 00:00:00,14.0,CF,Tactical Ground Vehicle,AR,,M113,,
,ARG,,TG,G,M113,ABCT,6680,,2014,"SHAFT ASSEMBLY,FLEXIBLE",35,1EK12F451461,5.6958,35,,,007983057,,2014-09-16 00:00:00,1.0,CF,Tactical Ground Vehicle,AR,,M113,,
,ARG,,TG,G,M113,ABCT,5930,,2014,"SWITCH,PRESSURE",26,1EK12F451968,6.8881,26,,,007718119,,2014-09-16 00:00:00,1.0,CF,Tactical Ground Vehicle,AR,,M113,,
,ARG,,CG,G,M3,,1005,,2014,"CONTROL BOX,ELECTRICAL,ARMAMENT SYSTEM",12365,6YR1AC402460_2,1666.8446,12365,,,015984401,,2014-09-16 00:00:00,1.0,CF,Combat Ground Vehicle,AR,,M3,,
,ARG,,CG,G,M3,,1005,,2014,"CONTROL BOX,ELECTRICAL,ARMAMENT SYSTEM",12365,6YR1AC402460_2,2713.5128,12365,,,015984401,,2014-09-16 00:00:00,1.0,CF,Combat Ground Vehicle,AR,,M3,,
,ARG,,TG,G,M88,,2590,,2014,"SCREEN,PLATFORM-RACK",40,8VBAAA409405,6.1277,40,,,010724181,,2014-09-17 00:00:00,1.0,CF,Tactical Ground Vehicle,AR,,M88,,
,ARG,,TG,G,M88,,5340,,2014,"SHIELD,ASSEMBLY",290,8VBAAA409405,44.4258,290,,,014243941,,2014-09-17 00:00:00,1.0,CF,Tactical Ground Vehicle,AR,,M88,,
,ARG,,TG,G,M88,,5340,,2014,"BRACKET,DOUBLE ANGLE",34,8VBAAA409405,5.2085,34,,,010724513,,2014-09-17 00:00:00,1.0,CF,Tactical Ground Vehicle,AR,,M88,,
,ARG,,TG,G,M88,,5999,,2014,"PLATE,ELECTRICAL SHIELD",454,8VBAAA409405,69.5492,454,,,013184309,,2014-09-17 00:00:00,1.0,CF,Tactical Ground Vehicle,AR,,M88,,
,ARG,,CG,G,M1,ABCT,5340,,2014,"GRILLE,METAL",110,8VBAAA409407,8.6336,110,,,014228279,,2014-09-17 00:00:00,1.0,CF,Combat Ground Vehicle,AR,,M1A2,,
,ARG,,CG,G,M1,ABCT,3020,,2014,"GUARD,MECHANICAL DRIVE",34,8VBAAA409407,4.3442,34,,,010724684,,2014-09-17 00:00:00,1.0,CF,Combat Ground Vehicle,AR,,M1A2,,
,ARG,,CG,G,M1,ABCT,2590,,2014,"SCREEN,PLATFORM-RACK",51,8VBAAA409407,6.5164,51,,,010724183,,2014-09-17 00:00:00,1.0,CF,Combat Ground Vehicle,AR,,M1A2,,
,ARG,,CG,G,M1,ABCT,5340,,2014,"BRACKET,DOUBLE ANGLE",61,8VBAAA409407,4.7876,61,,,014954274,,2014-09-17 00:00:00,1.0,CF,Combat Ground Vehicle,AR,,M1A2,,
,ARG,,CG,G,M1,ABCT,5340,,2014,"LEVER,MANUAL CONTROL",32,8XWAAB402155,4.4432,32,,,010792870,,2014-09-17 00:00:00,1.0,CF,Combat Ground Vehicle,AR,,M1A1,,
,ARG,,CG,G,M1,ABCT,5340,,2014,"GRILLE,METAL",110,8VBAAA409819_2,9.3822,110,,,014228279,,2014-09-17 00:00:00,1.0,CF,Combat Ground Vehicle,AR,,M1A1,,
,ARG,,CG,G,M1,ABCT,5340,,2014,"BRACKET,DOUBLE ANGLE",61,8VBAAA409819_2,5.2028,61,,,014954274,,2014-09-17 00:00:00,1.0,CF,Combat Ground Vehicle,AR,,M1A1,,
,ARG,,TG,G,M88,,6220,,2014,HEADLIGHT,34,8SF09A407744,5.2085,34,,,006136808,,2014-09-16 00:00:00,1.0,CF,Tactical Ground Vehicle,AR,,M88,,
