AO_AVAILDAYS,SERVICE
160162.8,Air Force
81247.68,Air Force
98745.6,Air Force
49837.2,Air Force
154230.48,Air Force
99452.4,Air Force
177140.4,Air Force
168707.52,Air Force
46258.32,Air Force
90662.4,Air Force
91008.0,Air Force
109018.32,Air Force
144637.68,Air Force
95914.08,Air Force
81986.4,Air Force
124857.12,Air Force
77899.68,Air Force
125183.52,Air Force
141203.52,Air Force
127917.12,Air Force
93838.08,Air Force
0.0,Air Force
155448.48,Air Force
86281.2,Air Force
162586.32,Air Force
151975.2,Air Force
153592.32,Air Force
0.0,Air Force
59558.4,Air Force
61301.52,Air Force
132151.92,Air Force
171356.4,Air Force
159905.52,Air Force
80628.48,Air Force
87622.8,Air Force
160110.0,Air Force
6736.08,Air Force
115404.72,Air Force
112937.52,Air Force
8372.4,Air Force
21444.96,Air Force
91646.4,Air Force
31720.08,Air Force
116817.12,Air Force
110015.52,Air Force
0.0,Air Force
26950.8,Air Force
154622.88,Air Force
0.0,Air Force
65284.8,Air Force
122901.12,Air Force
77100.48,Air Force
96628.32,Air Force
96293.28,Air Force
159991.92,Air Force
66841.92,Air Force
192271.92,Air Force
41162.88,Air Force
59941.2,Air Force
106089.6,Air Force
48772.08,Air Force
68981.52,Air Force
40920.48,Air Force
59789.52,Air Force
0.0,Air Force
105186.48,Air Force
46967.52,Air Force
141282.0,Air Force
15408.72,Air Force
173193.6,Air Force
81240.0,Air Force
0.0,Air Force
169993.2,Air Force
92452.8,Air Force
172186.08,Air Force
43884.72,Air Force
44801.52,Air Force
25057.2,Air Force
166960.8,Air Force
61602.0,Air Force
151608.0,Air Force
76769.52,Air Force
80768.88,Air Force
50046.48,Air Force
31484.88,Air Force
28496.4,Air Force
0.0,Air Force
0.0,Air Force
27078.0,Air Force
47638.08,Air Force
36153.6,Air Force
39260.88,Air Force
27748.32,Air Force
42052.08,Air Force
28308.0,Air Force
38288.88,Air Force
43531.92,Air Force
29341.68,Air Force
46717.2,Air Force
35381.28,Air Force
23368.8,Air Force
41328.72,Air Force
45873.6,Air Force
51102.0,Air Force
31107.6,Air Force
24571.2,Air Force
4649.52,Air Force
29121.6,Air Force
18676.32,Air Force
49914.72,Air Force
11856.0,Air Force
14368.8,Air Force
23773.2,Air Force
0.0,Air Force
0.0,Air Force
13981.92,Air Force
28549.68,Air Force
29488.08,Air Force
32247.6,Air Force
28020.72,Air Force
33099.6,Air Force
47095.92,Air Force
8574.72,Air Force
43025.28,Air Force
129776.88,Air Force
150210.0,Air Force
134070.72,Air Force
115138.08,Air Force
140098.8,Air Force
154397.28,Air Force
168735.6,Air Force
133189.2,Air Force
192251.52,Air Force
77311.2,Air Force
0.0,Air Force
103914.0,Air Force
87630.48,Air Force
84945.12,Air Force
88112.88,Air Force
42110.88,Air Force
96448.32,Air Force
121205.52,Air Force
131241.6,Air Force
70453.2,Air Force
59783.52,Air Force
25570.08,Air Force
87129.6,Air Force
114327.6,Air Force
178611.6,Air Force
124262.4,Air Force
143309.52,Air Force
71935.92,Air Force
6299.52,Air Force
123366.0,Air Force
82591.68,Air Force
59600.4,Air Force
143630.4,Air Force
154197.12,Air Force
93790.08,Air Force
180351.12,Air Force
138196.08,Air Force
121212.48,Air Force
0.0,Air Force
155238.0,Air Force
145976.88,Air Force
159845.28,Air Force
210816.0,Air Force
210816.0,Air Force
210816.0,Air Force
210816.0,Air Force
210816.0,Air Force
0.0,Air Force
210816.0,Air Force
63888.48,Air Force
156955.68,Air Force
107164.32,Air Force
124714.08,Air Force
132141.36,Air Force
165352.08,Air Force
150455.76,Air Force
184825.92,Air Force
161216.88,Air Force
192237.12,Air Force
153063.12,Air Force
67768.8,Air Force
60562.08,Air Force
129554.88,Air Force
164941.2,Air Force
185021.52,Air Force
160578.48,Air Force
